4 2 1 0 0 11 10.600000 2212 0 0.310378
4 -1 1    22     0     0      0.05803570      0.00331086      2.06566738      2.06648513 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.599968
1 -1 1    11     0     0      0.04697144     -0.58663218      1.00876445      1.16788253 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.31788425     -0.02294226      0.14960894      1.00336571 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.25632390      0.27346392      0.02401267      1.01065106 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.01458892      0.33611053      9.41761392      9.42362113 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.360574
1 -1 1    11     0     0      0.01099268     -0.07960399     -0.00272212      0.08040712 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.00722196      0.00160117     -0.09705798      0.94459417 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.31931763     -0.27302489      0.32713711      1.07883248 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.33753227      0.35102771     10.37264298     10.38406813 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 6.233938
1 -1 1    11     0     0      0.02814149      0.16445383      0.10151695      0.19530222 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.03402818     -0.05389051     -0.01468036      0.94183904 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.17403246      0.12542502      0.14536326      0.97339802 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.16814578     -0.23598834     10.36780015     10.37184860 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 1.485042
1 -1 1    11     0     0     -0.39311268      0.44629821      3.42058838      3.47190795 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.01863157      0.00986003     -0.08004812      0.94320476 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.16900281     -0.08740965      0.19744331      0.97751765 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.54348390     -0.36874859      7.06201642      7.09249083 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.031536
1 -1 1    11     0     0     -0.95001143      0.07091704      5.43885853      5.52166038 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.06334638     -0.08985089     -0.02822357      0.94639615 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.41963410     -0.25470587      0.29500391      1.09924959 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.46703095      0.27363971      4.89436111      4.92420220 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.064168
1 -1 1    11     0     0      0.07328369     -0.46093340      1.79103361      1.85084622 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.00084821     -0.00165014      0.10939965      0.94591484 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.14968988      0.88953227      0.37386039      1.35417902 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.22212536     -0.42694873      8.32570634      8.33960497 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 1.278414
1 -1 1    11     0     0     -0.19618723      0.59275650      3.68941810      3.74187866 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.03145225     -0.01970979     -0.00779079      0.94033057 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.13130584      0.03782627      0.11285927      0.95486322 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.35894530     -0.61087299      6.80551341      6.84229642 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.103842
1 -1 1    11     0     0     -0.08858341     -0.08637251     -0.08393880      0.14950991 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.00184336     -0.00265701      0.03586734      0.94025533 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.06527297     -0.24289091      0.27446773      1.00942736 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.15201302      0.33192043     10.37360372     10.38002568 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2112 0 5.949476
1 -1 1    11     0     0     -0.09156796     -0.64011986      4.49640058      4.54265964 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2212     0     0      0.01278971      0.00700998      0.03217553      0.93893689 0.938272 0.000000 0.000000 -3.000000
3 -1 1  2112     0     0      0.12684229      0.61836774      0.22890801      1.15483751 0.939565 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.04806404      0.01474214      5.84251586      5.84273216 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2112 0 2.389447
1 -1 1    11     0     0     -0.37637982      0.73242668      5.69186129      5.75112127 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2212     0     0     -0.00293127     -0.05729017      0.06733453      0.94243259 0.938272 0.000000 0.000000 -3.000000
3 -1 1  2112     0     0      0.34186966     -0.66842766      0.28416454      1.23580057 0.939565 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.03744142     -0.00670886      4.55663963      4.55679839 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.180909
1 -1 1    11     0     0      0.81818226      0.17295409      6.03764457      6.09528404 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.13158691     -0.01858532     -0.05507005      0.95051376 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.00210213     -0.25852489      0.21408181      0.99650643 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.68449323      0.10415613      4.40334366      4.45744488 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.002308
1 -1 1    11     0     0     -0.01646363     -1.12593583      4.50964616      4.64810836 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.05963795     -0.01679991     -0.07450030      0.94454877 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.08031694     -0.22316044      0.54565699      1.11101190 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.12349127      1.36589617      5.61919713      5.78414201 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.511335
1 -1 1    11     0     0      0.40825580      0.52033061      4.54600859      4.59386669 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.01065412     -0.01432407     -0.07231185      0.94251305 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.04993477     -0.40813874      0.25384093      1.05539586 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.46884470     -0.09786779      5.87246231      5.89196122 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2112 0 0.007484
1 -1 1    11     0     0      0.24530073      0.91227570      1.85937098      2.08558867 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2212     0     0     -0.01347303     -0.03109303     -0.06361555      0.94103652 0.938272 0.000000 0.000000 -3.000000
3 -1 1  2112     0     0     -0.14858536     -0.90380127      0.99429391      1.64631039 0.939565 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.08324236      0.02261861      7.80995064      7.81042700 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.020722
1 -1 1    11     0     0      1.01532245      0.33669644      7.10769992      7.18774252 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.02489132      0.01285522     -0.00681062      0.94000765 0.939565 0.000000 0.000000 -3.000000
